frame,person_id,closest_person_id,distance,threshold,violation
1,0,3,350.6,150,No
1,1,7,422.7,150,No
1,2,6,229.2,150,No
1,3,15,239.9,150,No
1,4,15,157.5,150,No
1,5,29,101.8,150,Yes
1,6,2,229.2,150,No
1,7,21,89.2,150,Yes
1,8,24,90.6,150,Yes
1,9,15,328.9,150,No
1,10,5,146.2,150,Yes
1,11,23,100.5,150,Yes
1,12,19,90.1,150,Yes
1,13,12,142.6,150,Yes
1,14,21,51.5,150,Yes
1,15,4,157.5,150,No
1,16,17,46.6,150,Yes
1,17,16,46.6,150,Yes
1,18,24,124.9,150,Yes
1,19,12,90.1,150,Yes
1,20,5,148.5,150,Yes
1,21,14,51.5,150,Yes
1,22,25,50.0,150,Yes
1,23,26,95.5,150,Yes
1,24,8,90.6,150,Yes
1,25,28,43.8,150,Yes
1,26,31,74.2,150,Yes
1,27,3,422.0,150,No
1,28,25,43.8,150,Yes
1,29,5,101.8,150,Yes
1,30,22,115.4,150,Yes
1,31,32,64.1,150,Yes
1,32,31,64.1,150,Yes
1,33,16,166.1,150,No
2,0,5,420.8,150,No
2,1,3,345.0,150,No
2,2,4,224.9,150,No
2,3,11,236.1,150,No
2,4,2,224.9,150,No
2,5,20,89.9,150,Yes
2,6,11,330.3,150,No
2,7,11,161.4,150,No
2,8,28,98.6,150,Yes
2,9,15,138.1,150,Yes
2,10,8,148.1,150,Yes
2,11,7,161.4,150,No
2,12,18,94.6,150,Yes
2,13,20,53.7,150,Yes
2,14,24,101.0,150,Yes
2,15,31,33.0,150,Yes
2,16,19,47.0,150,Yes
2,17,18,122.1,150,Yes
2,18,12,94.6,150,Yes
2,19,16,47.0,150,Yes
2,20,13,53.7,150,Yes
2,21,3,426.1,150,No
2,22,8,148.5,150,Yes
2,23,25,48.8,150,Yes
2,24,32,96.5,150,Yes
2,25,26,46.1,150,Yes
2,26,25,46.1,150,Yes
2,27,33,66.1,150,Yes
2,28,8,98.6,150,Yes
2,29,23,114.6,150,Yes
2,30,13,60.6,150,Yes
2,31,15,33.0,150,Yes
2,32,27,80.8,150,Yes
2,33,27,66.1,150,Yes
2,34,16,195.6,150,No
3,0,9,418.8,150,No
3,1,2,340.8,150,No
3,2,5,235.0,150,No
3,3,5,163.2,150,No
3,4,6,222.6,150,No
3,5,3,163.2,150,No
3,6,4,222.6,150,No
3,7,8,153.7,150,No
3,8,23,95.6,150,Yes
3,9,18,91.2,150,Yes
3,10,14,140.4,150,Yes
3,11,5,332.1,150,No
3,12,19,94.9,150,Yes
3,13,28,46.6,150,Yes
3,14,10,140.4,150,Yes
3,15,2,428.3,150,No
3,16,33,97.6,150,Yes
3,17,21,45.8,150,Yes
3,18,13,54.2,150,Yes
3,19,12,94.9,150,Yes
3,20,8,147.2,150,Yes
3,21,17,45.8,150,Yes
3,22,19,123.1,150,Yes
3,23,8,95.6,150,Yes
3,24,25,46.5,150,Yes
3,25,24,46.5,150,Yes
3,26,25,47.9,150,Yes
3,27,33,92.1,150,Yes
3,28,13,46.6,150,Yes
3,29,34,35.1,150,Yes
3,30,24,116.0,150,Yes
3,31,29,65.1,150,Yes
3,32,17,193.2,150,No
3,33,31,87.0,150,Yes
3,34,29,35.1,150,Yes
4,0,9,418.8,150,No
4,1,4,338.1,150,No
4,2,5,219.5,150,No
4,3,6,163.2,150,No
4,4,3,234.4,150,No
4,5,2,219.5,150,No
4,6,3,163.2,150,No
4,7,10,154.9,150,No
4,8,15,146.4,150,Yes
4,9,19,91.7,150,Yes
4,10,24,93.4,150,Yes
4,11,4,429.2,150,No
4,12,18,93.8,150,Yes
4,13,3,333.0,150,No
4,14,27,48.3,150,Yes
4,15,8,146.4,150,Yes
4,16,28,92.7,150,Yes
4,17,22,43.6,150,Yes
4,18,12,93.8,150,Yes
4,19,14,53.7,150,Yes
4,20,18,124.3,150,Yes
4,21,10,150.7,150,No
4,22,17,43.6,150,Yes
4,23,25,46.5,150,Yes
4,24,10,93.4,150,Yes
4,25,23,46.5,150,Yes
4,26,25,49.0,150,Yes
4,27,14,48.3,150,Yes
4,28,32,85.8,150,Yes
4,29,17,195.0,150,No
4,30,33,33.1,150,Yes
4,31,30,66.2,150,Yes
4,32,28,85.8,150,Yes
4,33,30,33.1,150,Yes
5,0,6,417.4,150,No
5,1,4,218.2,150,No
5,2,3,333.3,150,No
5,3,10,235.5,150,No
5,4,1,218.2,150,No
5,5,10,334.0,150,No
5,6,18,91.7,150,Yes
5,7,9,157.1,150,No
5,8,10,161.0,150,No
5,9,22,94.1,150,Yes
5,10,8,161.0,150,No
5,11,12,146.4,150,Yes
5,12,11,146.4,150,Yes
5,13,19,94.2,150,Yes
5,14,34,45.5,150,Yes
5,15,25,93.3,150,Yes
5,16,3,432.3,150,No
5,17,19,124.6,150,Yes
5,18,14,55.0,150,Yes
5,19,13,94.2,150,Yes
5,20,23,43.6,150,Yes
5,21,9,149.7,150,Yes
5,22,9,94.1,150,Yes
5,23,20,43.6,150,Yes
5,24,27,47.5,150,Yes
5,25,28,85.8,150,Yes
5,26,27,50.3,150,Yes
5,27,24,47.5,150,Yes
5,28,25,85.8,150,Yes
5,29,20,193.7,150,No
5,30,34,19.0,150,Yes
5,31,15,111.0,150,Yes
5,32,33,67.1,150,Yes
5,33,32,67.1,150,Yes
5,34,30,19.0,150,Yes
6,0,3,415.6,150,No
6,1,6,330.0,150,No
6,2,4,214.7,150,No
6,3,19,91.8,150,Yes
6,4,2,214.7,150,No
6,5,8,335.2,150,No
6,6,8,235.7,150,No
6,7,8,427.6,150,No
6,8,13,162.0,150,No
6,9,12,146.8,150,Yes
6,10,23,96.2,150,Yes
6,11,10,159.3,150,No
6,12,17,90.1,150,Yes
6,13,8,162.0,150,No
