Frame,Total_Faces,Mask,No_Mask,Mask_Percentage
1,5,1,4,20.00
2,5,1,4,20.00
3,5,1,4,20.00
4,5,1,4,20.00
5,7,3,4,42.86
6,7,2,5,28.57
7,6,2,4,33.33
8,5,1,4,20.00
9,6,2,4,33.33
10,6,2,4,33.33
11,6,2,4,33.33
12,7,3,4,42.86
13,6,2,4,33.33
14,5,1,4,20.00
15,6,2,4,33.33
16,6,2,4,33.33
17,6,2,4,33.33
18,6,2,4,33.33
19,6,2,4,33.33
20,7,3,4,42.86
21,6,2,4,33.33
22,6,2,4,33.33
23,6,2,4,33.33
24,7,2,5,28.57
25,7,2,5,28.57
26,7,2,5,28.57
27,7,2,5,28.57
28,7,2,5,28.57
29,7,2,5,28.57
30,7,2,5,28.57
31,7,2,5,28.57
32,8,3,5,37.50
33,6,1,5,16.67
34,8,3,5,37.50
35,9,3,6,33.33
36,8,3,5,37.50
37,7,2,5,28.57
38,7,2,5,28.57
39,7,2,5,28.57
40,7,2,5,28.57
41,7,2,5,28.57
42,7,2,5,28.57
43,6,1,5,16.67
44,6,1,5,16.67
45,6,1,5,16.67
46,6,1,5,16.67
47,6,1,5,16.67
48,6,1,5,16.67
49,6,1,5,16.67
50,5,1,4,20.00
51,5,1,4,20.00
52,5,1,4,20.00
53,5,1,4,20.00
54,5,1,4,20.00
55,5,1,4,20.00
56,4,0,4,0.00
57,4,0,4,0.00
58,5,1,4,20.00
59,5,1,4,20.00
60,5,1,4,20.00
61,5,1,4,20.00
62,5,1,4,20.00
63,5,1,4,20.00
64,6,1,5,16.67
65,5,1,4,20.00
66,4,1,3,25.00
67,3,1,2,33.33
68,3,1,2,33.33
69,4,1,3,25.00
70,4,1,3,25.00
71,4,1,3,25.00
72,4,1,3,25.00
73,3,1,2,33.33
74,4,1,3,25.00
75,3,1,2,33.33
76,3,1,2,33.33
77,3,1,2,33.33
78,3,0,3,0.00
79,2,0,2,0.00
80,3,0,3,0.00
81,3,0,3,0.00
82,4,1,3,25.00
83,4,1,3,25.00
84,3,0,3,0.00
85,3,0,3,0.00
86,3,0,3,0.00
87,2,0,2,0.00
88,2,0,2,0.00
89,2,0,2,0.00
90,3,1,2,33.33
91,4,1,3,25.00
92,5,1,4,20.00
93,5,1,4,20.00
94,5,1,4,20.00
95,5,1,4,20.00
96,5,0,5,0.00
97,4,1,3,25.00
98,4,1,3,25.00
99,4,1,3,25.00
100,5,1,4,20.00
101,4,1,3,25.00
102,5,1,4,20.00
103,5,1,4,20.00
104,4,1,3,25.00
105,6,1,5,16.67
106,5,1,4,20.00
107,5,1,4,20.00
108,4,0,4,0.00
109,4,0,4,0.00
110,3,0,3,0.00
111,4,0,4,0.00
112,5,0,5,0.00
113,5,0,5,0.00
114,6,0,6,0.00
115,4,0,4,0.00
116,4,0,4,0.00
117,4,0,4,0.00
118,4,0,4,0.00
119,4,0,4,0.00
120,4,0,4,0.00
121,4,0,4,0.00
122,4,0,4,0.00
123,4,0,4,0.00
124,5,0,5,0.00
125,3,0,3,0.00
126,3,0,3,0.00
127,3,0,3,0.00
128,3,0,3,0.00
129,3,0,3,0.00
130,3,0,3,0.00
131,3,0,3,0.00
132,2,0,2,0.00
133,2,0,2,0.00
134,2,0,2,0.00
135,2,0,2,0.00
136,1,0,1,0.00
137,1,0,1,0.00
138,1,0,1,0.00
139,1,0,1,0.00
140,1,0,1,0.00
141,1,0,1,0.00
142,2,0,2,0.00
143,0,0,0,0.00
144,0,0,0,0.00
145,0,0,0,0.00
146,1,0,1,0.00
147,2,1,1,50.00
148,2,1,1,50.00
149,0,0,0,0.00
150,0,0,0,0.00
151,0,0,0,0.00
152,1,0,1,0.00
153,1,0,1,0.00
154,1,0,1,0.00
155,1,0,1,0.00
156,1,0,1,0.00
157,0,0,0,0.00
158,1,0,1,0.00
159,0,0,0,0.00
160,2,1,1,50.00
161,1,1,0,100.00
162,0,0,0,0.00
163,1,0,1,0.00
164,1,0,1,0.00
165,1,0,1,0.00
166,1,0,1,0.00
167,1,0,1,0.00
168,1,0,1,0.00
169,1,0,1,0.00
170,1,0,1,0.00
171,1,0,1,0.00
172,0,0,0,0.00
173,1,1,0,100.00
174,0,0,0,0.00
175,1,1,0,100.00
176,1,1,0,100.00
177,1,1,0,100.00
178,0,0,0,0.00
179,0,0,0,0.00
180,0,0,0,0.00
181,0,0,0,0.00
182,0,0,0,0.00
183,0,0,0,0.00
184,0,0,0,0.00
185,0,0,0,0.00
186,0,0,0,0.00
187,0,0,0,0.00
188,0,0,0,0.00
189,0,0,0,0.00
190,0,0,0,0.00
191,0,0,0,0.00
192,0,0,0,0.00
193,0,0,0,0.00
194,0,0,0,0.00
195,0,0,0,0.00
196,0,0,0,0.00
197,0,0,0,0.00
198,1,0,1,0.00
199,0,0,0,0.00
200,1,0,1,0.00
201,1,0,1,0.00
202,1,0,1,0.00
203,1,0,1,0.00
204,0,0,0,0.00
205,0,0,0,0.00
206,0,0,0,0.00
207,0,0,0,0.00
208,1,0,1,0.00
209,1,1,0,100.00
210,1,1,0,100.00
211,1,1,0,100.00
212,1,1,0,100.00
213,1,1,0,100.00
214,1,1,0,100.00
215,1,1,0,100.00
216,1,1,0,100.00
217,2,1,1,50.00
218,1,1,0,100.00
219,1,1,0,100.00
220,1,1,0,100.00
221,1,1,0,100.00
222,1,1,0,100.00
223,1,1,0,100.00
224,1,1,0,100.00
225,1,1,0,100.00
226,1,1,0,100.00
227,1,1,0,100.00
228,1,1,0,100.00
229,2,2,0,100.00
230,2,2,0,100.00
231,2,2,0,100.00
232,2,1,1,50.00
233,3,1,2,33.33
234,3,1,2,33.33
235,2,1,1,50.00
236,2,1,1,50.00
237,2,1,1,50.00
238,2,1,1,50.00
239,3,1,2,33.33
240,3,1,2,33.33
241,4,2,2,50.00
242,3,1,2,33.33
243,2,1,1,50.00
244,2,1,1,50.00
245,3,2,1,66.67
246,2,1,1,50.00
247,2,1,1,50.00
248,3,1,2,33.33
249,3,1,2,33.33
250,2,1,1,50.00
251,3,1,2,33.33
252,3,1,2,33.33
253,5,3,2,60.00
254,3,1,2,33.33
255,3,1,2,33.33
256,3,1,2,33.33
257,4,1,3,25.00
258,4,1,3,25.00
259,3,1,2,33.33
260,3,1,2,33.33
261,3,1,2,33.33
262,4,1,3,25.00
263,3,1,2,33.33
264,3,1,2,33.33
265,3,1,2,33.33
266,11,3,8,27.27
267,9,3,6,33.33
268,2,0,2,0.00
269,4,1,3,25.00
270,3,0,3,0.00
