epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1174.55,1.68822,1.28196,1.37668,0.32302,0.53986,0.31212,0.16975,1.68809,3.79437,1.57662,0.000547614,0.000547614,0.000547614
2,3610.55,1.70301,1.34438,1.4085,0.3074,0.43382,0.3005,0.16207,1.63973,4.31098,1.53763,0.00108144,0.00108144,0.00108144
3,4857.72,1.76326,1.35203,1.40311,0.30145,0.30584,0.21364,0.09977,1.83231,4.08928,1.73532,0.00159325,0.00159325,0.00159325
4,6530.4,1.73957,1.4528,1.42777,0.34945,0.42018,0.30266,0.14286,1.87666,3.44424,1.77232,0.00156798,0.00156798,0.00156798
5,7694.29,1.7207,1.32868,1.38019,0.34523,0.40292,0.34663,0.17072,1.84079,3.86075,1.72863,0.00153497,0.00153497,0.00153497
6,9310.4,1.68395,1.3358,1.40368,0.31487,0.47524,0.27767,0.14353,1.77064,4.88402,1.69319,0.00150197,0.00150197,0.00150197
7,11400.5,1.72198,1.32392,1.35384,0.30898,0.53224,0.35185,0.18147,1.83095,4.62412,1.69229,0.00146896,0.00146896,0.00146896
8,12677.7,1.71697,1.22668,1.33306,0.35729,0.41239,0.34586,0.18442,1.77022,3.76401,1.63426,0.00143595,0.00143595,0.00143595
9,13886.3,1.64458,1.24897,1.33704,0.35812,0.41762,0.36322,0.20443,1.73282,4.22897,1.59057,0.00140295,0.00140295,0.00140295
10,15232,1.65913,1.28144,1.37108,0.31982,0.5165,0.35249,0.18867,1.7476,3.51264,1.59233,0.00136994,0.00136994,0.00136994
11,16516.1,1.6374,1.19751,1.3349,0.28838,0.54152,0.32135,0.17071,1.69718,4.28304,1.54291,0.00133693,0.00133693,0.00133693
12,18238.1,1.59495,1.19165,1.34207,0.31733,0.53957,0.31852,0.1699,1.70963,3.76963,1.58056,0.00130393,0.00130393,0.00130393
13,20107.2,1.63962,1.18917,1.32201,0.3679,0.41697,0.33628,0.16976,1.87735,4.20724,1.74531,0.00127092,0.00127092,0.00127092
14,22722,1.60252,1.24693,1.33229,0.32207,0.52247,0.36269,0.21318,1.66132,4.51894,1.536,0.00123791,0.00123791,0.00123791
15,23906.6,1.55729,1.11923,1.27888,0.36112,0.45441,0.34544,0.1988,1.67746,3.32229,1.53302,0.00120491,0.00120491,0.00120491
16,25137.8,1.58846,1.16736,1.29108,0.32962,0.5611,0.38385,0.22373,1.64672,4.10716,1.50848,0.0011719,0.0011719,0.0011719
17,26427.3,1.51243,1.1134,1.27466,0.32,0.5532,0.35298,0.19815,1.68146,3.92811,1.53,0.00113889,0.00113889,0.00113889
18,27836.7,1.54222,1.14777,1.28453,0.34624,0.51213,0.34347,0.18774,1.738,4.02757,1.60126,0.00110589,0.00110589,0.00110589
19,29130.8,1.50296,1.07783,1.27335,0.35887,0.49587,0.36878,0.20242,1.64735,3.66552,1.55614,0.00107288,0.00107288,0.00107288
20,30948.1,1.55886,1.10769,1.26639,0.33608,0.50639,0.36535,0.21979,1.62798,3.54017,1.487,0.00103987,0.00103987,0.00103987
21,32769.1,1.51091,1.04198,1.26344,0.33053,0.53331,0.31696,0.17415,1.64952,3.83355,1.51859,0.00100687,0.00100687,0.00100687
22,34349.6,1.52489,1.07931,1.27097,0.33975,0.56459,0.37095,0.214,1.63785,4.04247,1.51195,0.000973861,0.000973861,0.000973861
23,35557.7,1.53111,1.0788,1.26813,0.33969,0.51985,0.321,0.18665,1.62172,3.24583,1.49844,0.000940855,0.000940855,0.000940855
24,36871.9,1.50064,1.0238,1.22146,0.34822,0.54217,0.38373,0.21453,1.69037,4.38378,1.57048,0.000907848,0.000907848,0.000907848
25,38342.5,1.46359,1.00873,1.23515,0.32153,0.56469,0.37438,0.22101,1.63403,3.30585,1.50424,0.000874842,0.000874842,0.000874842
26,39888.1,1.46289,1.00213,1.23043,0.33403,0.55756,0.36369,0.19414,1.71945,3.85222,1.61828,0.000841835,0.000841835,0.000841835
27,41159.9,1.44589,0.98462,1.23585,0.34081,0.58422,0.38228,0.23259,1.58051,3.60422,1.47172,0.000808828,0.000808828,0.000808828
28,42341.7,1.44661,0.9517,1.23034,0.32908,0.55987,0.35197,0.1991,1.62487,3.69378,1.52201,0.000775822,0.000775822,0.000775822
29,43534.8,1.41784,0.98012,1.22321,0.32383,0.57368,0.38376,0.22822,1.58722,3.75471,1.47327,0.000742815,0.000742815,0.000742815
30,44713.8,1.43827,0.9779,1.21359,0.3199,0.53954,0.35966,0.21941,1.59175,3.83177,1.48589,0.000709809,0.000709809,0.000709809
31,45889.4,1.40299,0.94558,1.19068,0.32151,0.55622,0.36781,0.21314,1.68006,3.78013,1.58199,0.000676802,0.000676802,0.000676802
32,47276.3,1.40876,0.93213,1.20234,0.3244,0.55607,0.37681,0.22107,1.67852,3.59844,1.54162,0.000643795,0.000643795,0.000643795
33,48443.9,1.37763,0.94318,1.18491,0.33132,0.52114,0.34904,0.20564,1.71583,3.9456,1.60348,0.000610789,0.000610789,0.000610789
34,49626.3,1.38291,0.9103,1.18046,0.35157,0.61361,0.35174,0.19965,1.59597,4.0313,1.51666,0.000577782,0.000577782,0.000577782
35,50859.5,1.37235,0.90824,1.18436,0.33245,0.55289,0.37111,0.22125,1.61936,3.97951,1.55424,0.000544776,0.000544776,0.000544776
